name,address,rating
Le Vivarais,1 Place Gailleton 69002 Lyon,"9,2"
Toki Sushi,"14, rue du Mail 69004 Lyon",9
Sakura,"251 bis, rue Marcel Merieux 69007 Lyon","7,6"
Aux Saveurs,"74, rue des Docks 69009 Lyon","8,2"
Vert Tige,"10, rue Danton 69003 Lyon","8,2"
L'absteme,"111, rue Sébastien Gryphe 69007 Lyon","8,2"
Tiger Wok Lyon,"8, rue Challemel Lacour 69007 Lyon","7,2"
Lug's,"59, boulevard des Brotteaux 69006 Lyon","7,9"
Régal Crêpes Plus,39 Rue de la Bourse 69002 Lyon,"8,3"
Hakata Ramen,"8, rue du Garet 69001 Lyon","8,8"
Chez Augusto,"6, rue Neuve 69002 Lyon","8,4"
Pola Café,"Passage Thiaffait - 19, rue René Leynaud 69001 Lyon","8,2"
La Coquette,"9, place Tabareau 69004 Lyon","7,5"
L'Arc-en-Ciel - Hôtel Radisson Blu,"129, rue Servient 69003 Lyon","8,3"
La Squadra,"19, rue Voltaire 69003 Lyon","8,2"
Restaurant La Tour Rose,"22, rue du Boeuf 69005 Lyon","7,8"
Café de la Crèche,"3, rue Aimé Boussange 69004 Lyon","8,2"
